文件名,diff是否满足高斯分布,diff均值,diff方差,fp是否满足高斯分布,fp均值,fp方差,rx是否满足高斯分布,rx均值,rx方差
los-0.8m.csv,是,0.0205,0.0005,否,-80.8788,0.2176,否,-78.4394,0.1478
los-1.0m.csv,是,0.0419,0.0006,否,-80.9500,0.4475,否,-78.4800,0.1746
los-1.2m.csv,是,0.0570,0.0017,否,-80.9646,0.4205,否,-78.0606,0.0771
los-1.4m.csv,是,0.0371,0.0016,否,-80.9293,0.3889,否,-78.6667,0.1111
los-1.6m.csv,是,0.0467,0.0012,否,-80.8300,0.3911,否,-78.4950,0.1425
los-1.8m.csv,是,0.0649,0.0019,否,-80.9050,0.2535,否,-78.5950,0.1085
los-2.0m.csv,是,0.0850,0.0006,否,-80.7292,0.2287,否,-78.0052,0.0703
los-2.2m.csv,是,0.0810,0.0014,否,-80.8608,0.2100,否,-78.7784,0.0772
los-2.4m.csv,是,0.0886,0.0009,否,-80.9394,0.3145,否,-78.5808,0.0743
los-2.6m.csv,是,0.1543,0.0017,否,-81.1250,0.1302,否,-78.1719,0.0981
los-2.8m.csv,是,0.0796,0.0017,否,-80.9545,0.3489,否,-78.7828,0.0968
los-3.0m.csv,是,0.0588,0.0013,否,-80.9495,0.4469,否,-79.0253,0.0574
los-3.2m.csv,是,0.0612,0.0010,否,-80.9950,0.3175,否,-78.9900,0.0449
los-3.4m.csv,是,0.0870,0.0011,否,-80.9550,0.5155,否,-78.8450,0.0535
los-3.6m.csv,是,0.0475,0.0015,否,-80.9000,0.3800,否,-79.1150,0.0643
los-3.8m.csv,是,0.0850,0.0006,否,-81.0505,0.2904,否,-79.0303,0.0395
los-4.0m.csv,是,0.0903,0.0016,否,-81.0202,0.2471,否,-78.9141,0.0507
los-4.2m.csv,是,0.0701,0.0009,否,-80.9550,0.3205,否,-78.8700,0.0731
los-4.4m.csv,是,0.0536,0.0005,否,-81.1198,0.3320,否,-79.1771,0.0572
los-4.6m.csv,是,0.0699,0.0010,否,-81.1276,0.2720,否,-79.0816,0.0597
los-4.8m.csv,是,0.0510,0.0006,否,-81.0258,0.2184,否,-79.2474,0.0625
los-5.0m.csv,是,0.0622,0.0005,否,-81.5052,0.3582,否,-79.1237,0.0672
los-5.2m.csv,是,0.0559,0.0007,否,-81.3010,0.1772,否,-79.2143,0.0663
los-5.4m.csv,是,0.0861,0.0013,否,-81.1162,0.2517,否,-78.9899,0.0150
los-5.6m.csv,是,0.0812,0.0010,否,-81.1173,0.2643,否,-79.1429,0.0510
los-5.8m.csv,是,0.0738,0.0012,否,-81.0412,0.2354,否,-79.2423,0.0624
los-6.0m.csv,是,0.0711,0.0009,否,-80.9899,0.3080,否,-79.1212,0.0560
los-6.2m.csv,是,0.0611,0.0004,否,-81.5816,0.2229,否,-79.4388,0.0626
los-6.4m.csv,是,0.0464,0.0010,否,-81.1959,0.3482,否,-79.4021,0.0394
los-6.6m.csv,是,0.0625,0.0005,否,-81.1263,0.3704,否,-79.0909,0.0624
los-6.8m.csv,是,0.0550,0.0004,否,-81.5051,0.2247,否,-79.3131,0.0989
los-7.0m.csv,是,0.0423,0.0006,否,-81.6200,0.2306,否,-79.5400,0.1034
los-7.2m.csv,是,0.0612,0.0006,否,-81.2525,0.2746,否,-79.2323,0.0874
los-7.4m.csv,是,0.0574,0.0006,否,-81.5153,0.3135,否,-79.4490,0.0535
los-7.6m.csv,是,0.0430,0.0007,否,-81.3196,0.2587,否,-79.3557,0.0771
los-7.8m.csv,否,0.0587,0.0009,否,-81.2626,0.4462,否,-79.2323,0.0622
nlos1-0.8m.csv,是,0.2410,0.0004,否,-82.3550,0.2065,否,-79.2450,0.1075
nlos1-1.0m.csv,是,0.2592,0.0007,否,-83.4750,0.4569,否,-78.7100,0.1659
nlos1-1.2m.csv,是,0.2163,0.0003,否,-82.4596,0.1953,否,-79.2172,0.1119
nlos1-1.4m.csv,是,0.1516,0.0004,否,-86.7879,0.2025,否,-79.6566,0.0538
nlos1-1.6m.csv,是,0.2326,0.0006,否,-81.8283,0.1119,否,-79.2121,0.0611
nlos1-1.8m.csv,是,0.2533,0.0004,否,-82.2150,0.1313,否,-79.2550,0.0625
nlos1-2.0m.csv,是,0.3025,0.0021,否,-84.1990,1.9323,否,-79.3776,0.1075
nlos1-2.2m.csv,是,0.2364,0.0006,否,-82.3196,0.1144,否,-78.9227,0.1358
nlos1-2.4m.csv,是,0.3869,0.0028,否,-82.4271,0.3332,否,-79.2500,0.0990
nlos1-2.6m.csv,是,0.2980,0.0017,否,-82.6895,0.5746,否,-79.1211,0.1196
nlos1-2.8m.csv,是,0.3116,0.0007,否,-81.5843,0.1811,否,-79.0000,0.0000
nlos1-3.0m.csv,是,0.2106,0.0026,否,-83.8895,0.9220,否,-79.4842,0.0182
nlos1-3.2m.csv,是,0.2760,0.0007,否,-88.9250,0.6319,否,-79.8350,0.0553
nlos1-3.4m.csv,是,0.2497,0.0014,否,-82.7959,0.2645,否,-79.4031,0.0391
nlos1-3.6m.csv,是,0.1777,0.0003,否,-83.4650,0.1263,否,-79.4950,0.0675
nlos1-3.8m.csv,是,0.1868,0.0003,否,-83.6616,0.2466,否,-79.7828,0.0614
nlos1-4.0m.csv,是,0.1763,0.0003,否,-89.0000,0.4133,否,-80.0816,0.0342
nlos1-4.2m.csv,否,0.2557,0.1035,是,-91.7528,6.8715,否,-80.0000,0.0000
nlos1-4.4m.csv,否,0.6302,0.0691,否,-95.5365,2.5169,否,-80.0000,0.0000
nlos1-4.6m.csv,是,0.1597,0.0008,否,-83.5707,0.1112,否,-79.6364,0.0597
nlos1-4.8m.csv,是,0.7727,0.0002,否,-91.0561,0.0861,否,-80.0000,0.0255
nlos1-5.0m.csv,是,0.3453,0.0118,是,-88.8724,1.2516,否,-79.9133,0.0358
nlos1-5.2m.csv,是,0.1409,0.0004,否,-83.2374,0.2139,否,-79.7222,0.0668
nlos1-5.4m.csv,是,0.2688,0.0003,否,-82.0900,0.2319,否,-79.6100,0.0729
nlos1-5.6m.csv,是,0.1858,0.0014,否,-89.4541,0.4647,否,-80.0000,0.0000
nlos1-5.8m.csv,是,0.1861,0.0003,否,-84.2400,0.1474,否,-79.9300,0.0451
nlos1-6.0m.csv,是,0.2367,0.0005,否,-85.0464,0.2015,否,-79.8299,0.0561
nlos1-6.2m.csv,否,0.2214,0.0026,否,-87.2320,0.2581,否,-79.7474,0.0625
nlos1-6.4m.csv,否,0.3254,0.0027,否,-86.8698,0.2044,否,-80.0000,0.0000
nlos1-6.6m.csv,是,0.1321,0.0007,否,-90.2360,0.1971,否,-80.0000,0.0000
nlos1-6.8m.csv,否,0.0579,0.0171,否,-95.1582,0.8857,否,-80.0765,0.0324
nlos1-7.0m.csv,是,0.2060,0.0005,否,-89.9844,0.3409,否,-79.9583,0.0295
nlos1-7.2m.csv,是,0.1607,0.0007,否,-89.3505,0.1400,否,-80.0000,0.0000
nlos1-7.4m.csv,否,0.1047,0.0009,否,-89.7010,0.4570,否,-79.9897,0.0050
