文件名,diff均值,fp均值,rx均值
los-0.8m.csv,0.0198,-80.8850,-78.4450
los-1.0m.csv,0.0419,-80.9500,-78.4800
los-1.2m.csv,0.0574,-80.9850,-78.0600
los-1.4m.csv,0.0376,-80.9200,-78.6550
los-1.6m.csv,0.0467,-80.8300,-78.4950
los-1.8m.csv,0.0649,-80.9050,-78.5950
los-2.0m.csv,0.0839,-80.7950,-78.0250
los-2.2m.csv,0.0788,-80.9100,-78.7950
los-2.4m.csv,0.0877,-80.9600,-78.5900
los-2.6m.csv,0.1541,-81.1800,-78.1800
los-2.8m.csv,0.0784,-80.9750,-78.7850
los-3.0m.csv,0.0582,-80.9700,-79.0300
los-3.2m.csv,0.0612,-80.9950,-78.9900
los-3.4m.csv,0.0870,-80.9550,-78.8450
los-3.6m.csv,0.0475,-80.9000,-79.1150
los-3.8m.csv,0.0848,-81.0700,-79.0300
los-4.0m.csv,0.0895,-81.0400,-78.9200
los-4.2m.csv,0.0701,-80.9550,-78.8700
los-4.4m.csv,0.0540,-81.1400,-79.2000
los-4.6m.csv,0.0687,-81.1450,-79.0900
los-4.8m.csv,0.0492,-81.0550,-79.3500
los-5.0m.csv,0.0627,-81.5250,-79.1450
los-5.2m.csv,0.0548,-81.3200,-79.2250
los-5.4m.csv,0.0854,-81.1150,-79.0750
los-5.6m.csv,0.0809,-81.1550,-79.1400
los-5.8m.csv,0.0734,-81.0850,-79.2500
los-6.0m.csv,0.0705,-80.9900,-79.1450
los-6.2m.csv,0.0606,-81.5950,-79.4950
los-6.4m.csv,0.0446,-81.2250,-79.4100
los-6.6m.csv,0.0625,-81.1300,-79.1000
los-6.8m.csv,0.0550,-81.5200,-79.3150
los-7.0m.csv,0.0423,-81.6200,-79.5400
los-7.2m.csv,0.0619,-81.2500,-79.2300
los-7.4m.csv,0.0578,-81.5200,-79.4800
los-7.6m.csv,0.0426,-81.3450,-79.3500
los-7.8m.csv,0.0584,-81.2600,-79.2400
nlos1-0.8m.csv,0.2410,-82.3550,-79.2450
nlos1-1.0m.csv,0.2592,-83.4750,-78.7100
nlos1-1.2m.csv,0.2157,-82.4600,-79.2200
nlos1-1.4m.csv,0.1523,-86.7850,-79.6600
nlos1-1.6m.csv,0.2325,-81.8400,-79.2100
nlos1-1.8m.csv,0.2533,-82.2150,-79.2550
nlos1-2.0m.csv,0.2578,-83.3900,-79.4225
nlos1-2.2m.csv,0.1989,-86.1275,-79.2875
nlos1-2.4m.csv,0.3396,-84.9933,-79.4700
nlos1-2.6m.csv,0.4061,-84.1750,-79.3833
nlos1-2.8m.csv,0.5172,-82.6833,-79.3033
nlos1-3.0m.csv,0.5118,-82.5767,-79.4850
nlos1-3.2m.csv,0.5373,-87.8567,-79.8200
nlos1-3.4m.csv,0.3739,-83.5533,-79.6150
nlos1-3.6m.csv,0.1795,-86.4683,-79.8833
