文件名,相关系数矩阵
los-0.8m.csv,"[[0.9999999999999999, 0.5067696480309193, 0.2939747047450996], [0.5067696480309193, 0.9999999999999999, 0.8074102559205842], [0.2939747047450997, 0.8074102559205842, 0.9999999999999999]]"
los-1.0m.csv,"[[1.0, 0.11900586731494646, 0.10765669177989358], [0.11900586731494646, 1.0, 0.6135436771577037], [0.10765669177989359, 0.6135436771577037, 1.0]]"
los-1.2m.csv,"[[1.0, 0.23439774033488073, -0.22061759457324362], [0.2343977403348807, 1.0, 0.20544511341531113], [-0.22061759457324362, 0.20544511341531116, 1.0]]"
los-1.4m.csv,"[[1.0, 0.5451635155000744, 0.2608307811631717], [0.5451635155000744, 1.0, 0.4418164630304201], [0.2608307811631717, 0.4418164630304201, 1.0]]"
los-1.6m.csv,"[[1.0, 0.42566139637591377, 0.16904392613304556], [0.42566139637591377, 0.9999999999999998, 0.7589332349181714], [0.16904392613304559, 0.7589332349181713, 1.0]]"
los-1.8m.csv,"[[1.0, 0.5436130342502332, 0.0001833894882543576], [0.5436130342502332, 1.0, 0.32580847740857133], [0.00018338948825435763, 0.3258084774085713, 0.9999999999999998]]"
los-2.0m.csv,"[[0.9999999999999999, 0.14471978357069903, 0.08285721654498598], [0.144719783570699, 0.9999999999999998, 0.44332425410249415], [0.08285721654498597, 0.4433242541024941, 1.0]]"
los-2.2m.csv,"[[0.9999999999999998, 0.4658698579514093, -0.16495325236043562], [0.46586985795140934, 1.0, 0.2515671591900053], [-0.16495325236043565, 0.2515671591900053, 1.0]]"
los-2.4m.csv,"[[0.9999999999999999, 0.2611351865623868, -0.13498809944563664], [0.26113518656238677, 0.9999999999999998, 0.5060902003912403], [-0.13498809944563664, 0.5060902003912403, 1.0]]"
los-2.6m.csv,"[[0.9999999999999998, -0.002144647402311959, -0.1464976959000173], [-0.002144647402311959, 1.0, 0.10873229840545441], [-0.1464976959000173, 0.1087322984054544, 1.0]]"
los-2.8m.csv,"[[1.0, 0.5476579264497846, 0.09483882986674118], [0.5476579264497846, 1.0, 0.2959948236868103], [0.09483882986674119, 0.2959948236868103, 0.9999999999999998]]"
los-3.0m.csv,"[[1.0, 0.7532086256355331, 0.3592041055142925], [0.7532086256355333, 1.0, 0.4487252354732926], [0.35920410551429255, 0.4487252354732926, 1.0]]"
los-3.2m.csv,"[[1.0, 0.1882127505788153, 0.00571708003751516], [0.1882127505788153, 0.9999999999999998, 0.22991346799553344], [0.00571708003751516, 0.22991346799553342, 1.0]]"
los-3.4m.csv,"[[0.9999999999999998, 0.5826700072710848, -0.05720966924732698], [0.5826700072710848, 1.0, 0.003162132786178822], [-0.057209669247326976, 0.0031621327861788215, 1.0]]"
los-3.6m.csv,"[[1.0, 0.6133242215359642, -0.1402993986423754], [0.6133242215359643, 1.0, 0.13757059605174635], [-0.14029939864237537, 0.13757059605174632, 0.9999999999999998]]"
los-3.8m.csv,"[[0.9999999999999999, 0.17603562065629733, 0.21002699906308242], [0.17603562065629733, 0.9999999999999998, 0.3583310990979233], [0.21002699906308242, 0.35833109909792327, 1.0]]"
los-4.0m.csv,"[[1.0, 0.606176087622665, -0.041496341347514426], [0.6061760876226648, 1.0, 0.1882372922941127], [-0.04149634134751442, 0.1882372922941127, 1.0]]"
los-4.2m.csv,"[[1.0, 0.4156958675447454, -0.07082317996631064], [0.41569586754474547, 1.0, 0.09244867120363026], [-0.07082317996631064, 0.09244867120363026, 1.0]]"
los-4.4m.csv,"[[1.0, 0.20509201849334505, 0.021320357752209796], [0.20509201849334507, 1.0, 0.027562789626147034], [0.021320357752209796, 0.027562789626147034, 1.0]]"
los-4.6m.csv,"[[1.0, 0.5742200269529016, 0.1240357484344228], [0.5742200269529016, 1.0, 0.10437858958542207], [0.1240357484344228, 0.10437858958542207, 1.0]]"
los-4.8m.csv,"[[1.0, 0.31772935495568844, 0.1267319544133898], [0.31772935495568844, 0.9999999999999998, -0.07589545760870937], [0.1267319544133898, -0.07589545760870939, 1.0]]"
los-5.0m.csv,"[[1.0, -0.3883348328036593, -0.16328111864180272], [-0.3883348328036593, 1.0, 0.45834604034146526], [-0.16328111864180272, 0.45834604034146526, 1.0]]"
los-5.2m.csv,"[[0.9999999999999999, 0.0727854541332587, 0.2147295360633698], [0.07278545413325868, 0.9999999999999999, -0.1408770575243168], [0.21472953606336978, -0.1408770575243168, 1.0]]"
los-5.4m.csv,"[[1.0, 0.2492413947272071, 0.17202528454200977], [0.24924139472720708, 1.0, -0.014339971043382544], [0.17202528454200977, -0.014339971043382542, 1.0]]"
los-5.6m.csv,"[[1.0, 0.3286637760703614, 0.22574437795317906], [0.32866377607036135, 1.0, 0.29766813406507103], [0.22574437795317906, 0.29766813406507103, 1.0]]"
los-5.8m.csv,"[[1.0, 0.3772442035699472, 0.28710467010721885], [0.37724420356994715, 1.0, -0.14803398422605557], [0.2871046701072188, -0.14803398422605557, 1.0]]"
los-6.0m.csv,"[[1.0, 0.23836671543169058, 0.1350544277265924], [0.23836671543169055, 1.0, -0.0870577791434097], [0.1350544277265924, -0.0870577791434097, 0.9999999999999999]]"
los-6.2m.csv,"[[0.9999999999999998, -0.1496038387813502, 0.2629055856090459], [-0.1496038387813502, 1.0, 0.0016045685719985278], [0.26290558560904587, 0.0016045685719985278, 1.0]]"
los-6.4m.csv,"[[0.9999999999999998, 0.525784135342345, 0.07505223821184591], [0.5257841353423449, 1.0, -0.07758878292359292], [0.07505223821184591, -0.07758878292359293, 1.0]]"
los-6.6m.csv,"[[1.0, 0.30935101811235166, 0.29797063361170806], [0.30935101811235166, 1.0, 0.199350830640818], [0.29797063361170806, 0.199350830640818, 1.0]]"
los-6.8m.csv,"[[1.0, -0.2180393865150587, 0.21324583181608006], [-0.2180393865150587, 1.0, 0.03998912826325097], [0.2132458318160801, 0.039989128263250975, 1.0]]"
los-7.0m.csv,"[[1.0, 0.21800980137419734, 0.2937902547940877], [0.21800980137419734, 1.0, -0.16060599782913035], [0.29379025479408777, -0.16060599782913035, 1.0]]"
los-7.2m.csv,"[[0.9999999999999999, -0.11813926060170202, 0.15626508435061096], [-0.11813926060170203, 1.0, -0.45436587795130634], [0.15626508435061098, -0.45436587795130634, 1.0]]"
los-7.4m.csv,"[[1.0, -0.1516372641401535, 0.2557425897653505], [-0.1516372641401535, 1.0, 0.11831792949089251], [0.2557425897653506, 0.1183179294908925, 0.9999999999999999]]"
los-7.6m.csv,"[[1.0, 0.2604824919683225, 0.3878128834841818], [0.2604824919683225, 1.0, 0.21297672575467178], [0.38781288348418175, 0.21297672575467178, 0.9999999999999998]]"
los-7.8m.csv,"[[1.0, 0.5112531216073251, -0.015506860184910952], [0.5112531216073252, 1.0, -0.20211005466806403], [-0.015506860184910954, -0.20211005466806403, 1.0]]"
nlos1-0.8m.csv,"[[1.0, -0.16126635917094628, 0.19353327962415814], [-0.1612663591709463, 1.0, 0.05387131499709045], [0.19353327962415814, 0.053871314997090455, 1.0]]"
nlos1-1.0m.csv,"[[1.0, 0.12122491734634167, 0.20797741553441465], [0.12122491734634167, 1.0, 0.6819586706424379], [0.20797741553441468, 0.6819586706424379, 1.0]]"
nlos1-1.2m.csv,"[[1.0, -0.04733542364417511, 0.17851133569083721], [-0.04733542364417511, 0.9999999999999999, -0.14430305607505925], [0.17851133569083724, -0.14430305607505925, 0.9999999999999999]]"
nlos1-1.4m.csv,"[[0.9999999999999999, -0.13701082661640243, 0.1301713828381791], [-0.13701082661640243, 1.0, -0.10130047872685391], [0.13017138283817908, -0.10130047872685392, 0.9999999999999999]]"
nlos1-1.6m.csv,"[[1.0, -0.21639406948177034, -0.17038782891428128], [-0.2163940694817703, 0.9999999999999999, -0.18841913754358489], [-0.17038782891428128, -0.18841913754358486, 1.0]]"
